题型,题目,选项,选项个数,答案,解析,所属知识点ID,难度
1,对甲状腺肿瘤性质诊断正确率可达80%以上的检查方法是,A.B超…B.CT…C.核素扫描…D.磁共振…E.针吸涂片细胞学检查,5,E,,20,1
,心源性脑栓塞时，栓塞多发生在,,,,,,
,同时出现双室增大的疾病是,,,,,,
,下列哪种疾病属于原发性心肌病,,,,,,
,胸腔积液需要在多少毫升以上才有X线表现,,,,,,
,休克的根本病因是,,,,,,
,诊断早期糖尿病肾病较有意义的检查是,,,,,,
,下列对臀位妊娠的处理，不当的是,,,,,,
,先兆流产与难免流产的主要鉴别点是,,,,,,
,关于脑卒中的危险因素以下哪一项不正确,,,,,,
,引起代谢性碱中毒的原因中，不包括,,,,,,
,Ⅱ型呼吸衰竭，有严重的二氧化碳潴留，以下哪项变化是不正确的,,,,,,
,难复性疝的内容物多数是,,,,,,
,急性胆囊炎最严重的并发症是,,,,,,
,急性化脓性腹膜炎病人术后，采取半卧位的目的，哪项是错误的：,,,,,,
,关于妊娠合并心脏病正确的是,,,,,,
,急性宫外孕的最主要症状是,,,,,,
,婴儿腹泻重型与轻型的主要区别点是,,,,,,
,肝硬化出血倾向的最主要原因是,,,,,,
,以下哪一项不是肺炎合并心衰的诊断要点：,,,,,,
,一大面积烧伤病人，近日来常寒战、高热，呈间歇热，四肢厥冷，紫绀，尿量明显减少，很快发生血压下降，休克。其原因最大可能是,,,,,,
,保证血液安全的前提和基础是,,,,,,
,单侧隐睾手术治疗应在,,,,,,
,为感染性休克病人迅速纠正血容量不足时，下列各组液体中，首选的是,,,,,,
,胃切除术后呕吐的原因不包括,,,,,,
,不符合生长发育一般规律的是,,,,,,
,我国肝硬化最常见的病因是,,,,,,
,Graves病最重要的体征是,,,,,,
,诊断急性肾盂肾炎最主要的依据是,,,,,,
,冠心病心绞痛发作的典型部位是,,,,,,
,下列关于马蹄肾的说法，正确的是,,,,,,
,诊断成年女性贫血的标准为血红蛋白浓度低于,,,,,,
,慢性血源性骨髓炎有效的治疗方法是,,,,,,
,术中判断心跳停止最可能的依据是,,,,,,
,确诊结核性脑膜炎最可靠的依据是,,,,,,
,关于早产儿特点，哪项是错误的,,,,,,
,肾盂肾炎最常见的病原菌是,,,,,,
,以下表现可发生于化脓性脑膜炎新生儿，除了,,,,,,
,小儿生理性贫血发生于生后,,,,,,
,下列关于休克病人预防急性肾衰的措施中不正确的是,,,,,,
,男性，60岁，1年来在生气或劳累时发生左胸前区闷痛，伴左后背部酸痛，有时在休息时也有发生。心电图未见异常。采集病史时应特别注意询问,,,,,,
,男性，60岁，1年来在生气或劳累时发生左胸前区闷痛，伴左后背部酸痛，有时在休息时也有发生。心电图未见异常。最有价值的无创检查方法是,,,,,,
,男性，60岁，1年来在生气或劳累时发生左胸前区闷痛，伴左后背部酸痛，有时在休息时也有发生。心电图未见异常。心电图负荷试验的适应证是,,,,,,
